marker,tag,a_1311,a_1592,a_2713,a_8006,a_18178
0,3,938,191,485,527,588
0,1,938,187,453,507,559
0,2,851,184,503,483,580
0,3,938,188,484,527,583
0,1,941,189,456,509,568
0,2,851,186,499,485,577
0,3,934,189,482,526,587
0,1,936,185,454,507,564
0,2,854,185,503,484,581
0,3,934,191,482,527,586
0,1,936,189,457,509,556
0,2,852,186,505,488,578
0,3,936,192,481,527,587
0,1,942,184,452,505,557
0,2,851,186,501,490,575
0,3,939,190,481,527,583
0,1,937,189,454,505,557
0,2,856,182,505,485,582
0,3,939,191,477,524,585
0,1,942,187,451,508,559
0,2,853,187,504,488,577
0,3,933,193,482,525,584
0,1,939,185,457,508,561
0,2,851,184,502,482,576
0,3,935,193,484,528,588
0,1,941,182,453,505,555
0,2,854,183,502,486,576
0,3,940,193,483,527,589
0,1,938,192,456,508,557
0,2,852,185,505,483,575
0,3,936,191,483,528,589
0,1,939,192,455,511,553
0,2,852,184,504,489,582
0,3,934,191,483,523,586
0,1,939,184,451,508,557
0,2,856,184,504,485,582
0,3,941,192,484,521,587
0,1,937,186,454,507,557
0,2,855,184,502,483,581
0,3,941,192,483,527,584
0,1,941,187,456,508,555
0,2,856,184,501,484,581
0,3,935,190,484,529,587
0,1,940,185,454,507,550
0,2,853,182,504,491,577
0,3,934,192,484,525,585
0,1,941,187,456,508,551
0,2,852,185,502,486,581
0,3,934,190,482,522,583
0,1,939,189,453,512,552
0,2,851,183,504,485,581
0,3,937,192,483,524,584
0,1,940,188,459,507,557
0,2,855,182,503,483,581
0,3,937,193,484,528,586
0,1,940,186,456,506,554
0,2,853,185,503,484,574
0,3,938,192,484,526,586
0,1,941,193,454,507,554
0,2,855,186,501,485,578
0,3,940,189,484,528,586
0,1,941,190,452,507,552
0,2,854,185,502,486,580
0,3,935,190,479,529,586
0,1,940,188,457,507,559
0,2,855,183,504,486,577
0,3,934,191,482,529,584
0,1,938,196,454,507,556
0,2,854,182,504,489,579
0,3,934,192,484,527,583
0,1,940,187,455,507,556
0,2,852,186,503,482,580
0,3,940,193,484,526,590
0,1,937,191,455,510,552
0,2,855,184,503,486,578
0,3,939,191,484,528,586
0,1,941,452,508,551,
0,2,853,504,483,583,
0,3,939,484,530,586,
0,1,939,189,454,509,554
0,2,854,187,503,487,580
0,3,937,193,485,530,586
0,1,939,192,455,507,551
0,2,851,188,503,489,579
0,3,939,191,486,527,587
0,1,940,190,452,509,552
0,2,854,186,503,487,579
0,3,937,189,481,525,584
0,1,939,189,456,506,552
0,2,853,182,500,486,578
0,3,934,189,481,527,586
0,1,942,189,457,508,557
0,2,851,183,500,485,581
0,3,941,191,484,526,585
0,1,941,187,454,506,555
0,2,853,185,503,488,577
0,3,937,191,482,528,585
0,1,939,458,511,557,
0,2,852,504,492,580,
0,3,933,482,528,583,
0,1,941,187,449,506,557
0,2,853,186,503,488,576
0,3,933,191,484,525,586
0,1,940,191,455,509,560
0,2,855,184,503,484,576
0,3,936,189,484,527,589
0,1,941,188,454,512,555
0,2,854,181,503,484,579
0,3,939,189,484,522,588
0,1,941,189,454,507,556
0,2,854,183,506,487,576
0,3,939,193,485,524,588
0,1,941,185,454,509,557
0,2,854,183,506,484,579
0,3,937,192,482,522,587
0,1,942,188,453,507,557
0,2,855,183,506,488,582
0,3,939,191,483,528,588
0,1,938,185,456,508,561
0,2,853,183,504,489,583
0,3,936,193,479,527,588
0,1,939,191,454,509,560
0,2,851,183,500,484,576
0,3,933,194,482,528,589
0,1,938,186,454,507,560
0,2,855,183,500,486,578
0,3,939,192,484,530,587
0,1,945,185,454,508,558
0,2,855,185,502,487,582
0,3,938,191,483,527,586
0,1,941,185,456,510,552
0,2,854,184,503,485,577
0,3,938,190,484,524,587
0,1,939,188,456,507,553
0,2,853,184,499,482,583
0,3,935,191,484,528,585
0,1,942,189,457,510,553
0,2,853,184,501,486,577
0,3,936,194,484,528,584
0,1,939,193,455,507,558
0,2,854,186,504,484,575
0,3,937,192,483,526,585
