,position,anchor_1,anchor_2,anchor_3,anchor_4,anchor_5,tag
290,1,936.0,187.0,490.0,503.0,576.0,3
291,1,921.0,194.0,487.0,542.0,635.0,1
292,1,923.0,184.0,457.0,527.0,577.0,2
293,1,939.0,189.0,489.0,501.0,574.0,3
294,1,922.0,198.0,487.0,525.0,639.0,1
295,1,921.0,187.0,457.0,523.0,578.0,2
296,1,939.0,185.0,491.0,504.0,578.0,3
297,1,922.0,193.0,483.0,523.0,641.0,1
298,1,921.0,188.0,455.0,522.0,576.0,2
299,1,939.0,184.0,491.0,499.0,577.0,3
300,1,920.0,190.0,480.0,532.0,642.0,1
301,1,920.0,185.0,458.0,525.0,583.0,2
302,1,938.0,189.0,492.0,502.0,575.0,3
303,1,921.0,190.0,482.0,526.0,644.0,1
304,1,923.0,187.0,457.0,526.0,581.0,2
305,1,939.0,186.0,490.0,501.0,568.0,3
306,1,919.0,192.0,486.0,526.0,639.0,1
307,1,921.0,186.0,457.0,527.0,575.0,2
308,1,936.0,186.0,490.0,501.0,573.0,3
309,1,923.0,192.0,480.0,528.0,641.0,1
310,1,925.0,184.0,459.0,522.0,576.0,2
311,1,937.0,183.0,490.0,500.0,580.0,3
312,1,922.0,193.0,484.0,530.0,640.0,1
313,1,924.0,185.0,457.0,523.0,575.0,2
314,1,939.0,185.0,487.0,503.0,579.0,3
315,1,921.0,192.0,480.0,526.0,636.0,1
316,1,923.0,184.0,459.0,520.0,579.0,2
317,1,937.0,186.0,492.0,501.0,572.0,3
318,1,921.0,186.0,473.0,527.0,638.0,1
319,1,922.0,188.0,460.0,523.0,577.0,2
320,1,936.0,187.0,491.0,499.0,580.0,3
321,1,922.0,192.0,470.0,529.0,640.0,1
322,1,922.0,186.0,458.0,523.0,579.0,2
323,1,939.0,186.0,492.0,499.0,575.0,3
324,1,921.0,195.0,472.0,523.0,636.0,1
325,1,922.0,189.0,458.0,527.0,581.0,2
326,1,936.0,190.0,490.0,504.0,569.0,3
327,1,918.0,190.0,479.0,525.0,636.0,1
328,1,923.0,186.0,457.0,528.0,578.0,2
329,1,934.0,183.0,492.0,500.0,583.0,3
330,1,920.0,191.0,476.0,528.0,641.0,1
331,1,920.0,186.0,459.0,521.0,580.0,2
332,1,935.0,188.0,490.0,502.0,578.0,3
333,1,924.0,195.0,471.0,526.0,638.0,1
334,1,923.0,185.0,459.0,524.0,581.0,2
335,1,937.0,187.0,490.0,503.0,574.0,3
336,1,922.0,191.0,478.0,526.0,638.0,1
337,1,922.0,185.0,458.0,522.0,577.0,2
338,1,937.0,187.0,487.0,499.0,576.0,3
339,1,921.0,196.0,477.0,530.0,639.0,1
340,1,921.0,186.0,460.0,528.0,583.0,2
341,1,940.0,188.0,488.0,502.0,582.0,3
342,1,921.0,187.0,477.0,522.0,641.0,1
343,1,922.0,186.0,459.0,525.0,576.0,2
344,1,942.0,189.0,488.0,504.0,575.0,3
345,1,921.0,190.0,481.0,529.0,639.0,1
346,1,922.0,185.0,457.0,522.0,584.0,2
347,1,940.0,187.0,489.0,502.0,583.0,3
348,1,921.0,191.0,485.0,530.0,641.0,1
349,1,920.0,185.0,459.0,522.0,576.0,2
350,1,938.0,189.0,491.0,504.0,576.0,3
351,1,918.0,189.0,474.0,531.0,640.0,1
352,1,918.0,190.0,460.0,526.0,580.0,2
353,1,939.0,186.0,491.0,503.0,575.0,3
354,1,919.0,189.0,475.0,524.0,636.0,1
355,1,921.0,187.0,461.0,524.0,575.0,2
356,1,935.0,187.0,492.0,504.0,580.0,3
357,1,922.0,187.0,482.0,525.0,642.0,1
358,1,921.0,185.0,460.0,522.0,577.0,2
359,1,936.0,187.0,491.0,500.0,577.0,3
360,1,920.0,193.0,477.0,530.0,640.0,1
361,1,921.0,186.0,458.0,524.0,583.0,2
362,1,937.0,188.0,490.0,500.0,575.0,3
363,1,921.0,190.0,476.0,530.0,641.0,1
364,1,919.0,186.0,457.0,518.0,577.0,2
365,1,938.0,190.0,488.0,499.0,581.0,3
366,1,921.0,190.0,474.0,528.0,638.0,1
367,1,921.0,185.0,457.0,526.0,576.0,2
368,1,939.0,186.0,490.0,501.0,575.0,3
369,1,923.0,189.0,478.0,527.0,638.0,1
370,1,920.0,185.0,457.0,522.0,575.0,2
371,1,941.0,189.0,489.0,499.0,577.0,3
372,1,921.0,,484.0,526.0,635.0,1
373,1,920.0,,460.0,523.0,576.0,2
374,1,937.0,,491.0,499.0,579.0,3
375,1,922.0,191.0,471.0,534.0,640.0,1
376,1,920.0,186.0,459.0,526.0,582.0,2
377,1,939.0,189.0,491.0,502.0,575.0,3
378,1,922.0,185.0,479.0,529.0,641.0,1
379,1,918.0,186.0,459.0,523.0,577.0,2
380,1,937.0,184.0,490.0,503.0,576.0,3
381,1,923.0,193.0,481.0,524.0,639.0,1
382,1,920.0,186.0,456.0,525.0,586.0,2
383,1,939.0,184.0,491.0,502.0,575.0,3
384,1,922.0,192.0,477.0,535.0,639.0,1
385,1,920.0,186.0,458.0,525.0,585.0,2
386,1,939.0,188.0,491.0,500.0,582.0,3
387,1,922.0,195.0,488.0,525.0,639.0,1
388,1,921.0,186.0,457.0,520.0,583.0,2
389,1,939.0,187.0,486.0,501.0,575.0,3
390,1,922.0,192.0,483.0,530.0,637.0,1
391,1,921.0,189.0,459.0,525.0,586.0,2
392,1,938.0,189.0,488.0,499.0,578.0,3
393,1,923.0,190.0,474.0,529.0,637.0,1
394,1,922.0,188.0,458.0,520.0,584.0,2
395,1,940.0,186.0,489.0,499.0,578.0,3
396,1,921.0,197.0,482.0,529.0,642.0,1
397,1,921.0,186.0,458.0,522.0,582.0,2
398,1,940.0,186.0,491.0,503.0,575.0,3
399,1,920.0,193.0,484.0,522.0,641.0,1
400,1,922.0,187.0,458.0,525.0,584.0,2
401,1,942.0,186.0,490.0,502.0,576.0,3
402,1,923.0,196.0,481.0,523.0,642.0,1
403,1,925.0,185.0,458.0,525.0,577.0,2
404,1,941.0,191.0,488.0,504.0,574.0,3
405,1,922.0,196.0,486.0,520.0,639.0,1
406,1,920.0,184.0,459.0,527.0,580.0,2
407,1,940.0,186.0,489.0,503.0,578.0,3
408,1,921.0,190.0,483.0,530.0,636.0,1
409,1,926.0,187.0,457.0,524.0,575.0,2
410,1,939.0,184.0,489.0,500.0,575.0,3
411,1,922.0,190.0,469.0,522.0,641.0,1
412,1,926.0,190.0,457.0,524.0,580.0,2
413,1,940.0,187.0,493.0,499.0,578.0,3
414,1,921.0,192.0,472.0,528.0,636.0,1
415,1,925.0,186.0,459.0,525.0,579.0,2
416,1,939.0,188.0,491.0,501.0,575.0,3
417,1,922.0,196.0,507.0,525.0,640.0,1
418,1,924.0,188.0,459.0,527.0,578.0,2
419,1,936.0,190.0,492.0,503.0,577.0,3
420,1,921.0,189.0,495.0,524.0,639.0,1
421,1,923.0,188.0,460.0,523.0,576.0,2
422,1,938.0,187.0,491.0,502.0,573.0,3
423,1,921.0,185.0,473.0,531.0,634.0,1
424,1,921.0,186.0,460.0,524.0,578.0,2
425,1,934.0,183.0,492.0,501.0,577.0,3
426,1,920.0,190.0,478.0,525.0,638.0,1
427,1,917.0,187.0,459.0,522.0,578.0,2
428,1,938.0,185.0,489.0,502.0,577.0,3
429,1,921.0,191.0,478.0,529.0,638.0,1
430,1,921.0,186.0,456.0,525.0,581.0,2
431,1,935.0,188.0,489.0,501.0,583.0,3
432,1,918.0,193.0,479.0,529.0,636.0,1
433,1,921.0,189.0,458.0,528.0,580.0,2
434,1,938.0,188.0,489.0,499.0,579.0,3
435,1,922.0,191.0,480.0,525.0,640.0,1
436,1,922.0,189.0,458.0,524.0,584.0,2
437,1,940.0,186.0,491.0,501.0,573.0,3
438,1,921.0,194.0,478.0,529.0,636.0,1
439,1,918.0,184.0,459.0,524.0,581.0,2
440,1,939.0,188.0,492.0,502.0,578.0,3
441,1,924.0,194.0,481.0,529.0,640.0,1
442,1,925.0,188.0,457.0,526.0,583.0,2
443,1,939.0,188.0,485.0,502.0,574.0,3
444,1,923.0,192.0,477.0,526.0,643.0,1
445,1,926.0,186.0,458.0,523.0,577.0,2
446,1,936.0,189.0,489.0,500.0,578.0,3
447,1,922.0,193.0,478.0,527.0,639.0,1
448,1,922.0,185.0,460.0,523.0,578.0,2
449,1,937.0,186.0,488.0,503.0,571.0,3
450,1,922.0,192.0,478.0,527.0,641.0,1
451,1,919.0,187.0,457.0,521.0,583.0,2
452,1,937.0,187.0,487.0,500.0,571.0,3
453,1,921.0,189.0,483.0,527.0,642.0,1
454,1,920.0,185.0,459.0,521.0,579.0,2
455,1,934.0,186.0,490.0,502.0,579.0,3
456,1,919.0,194.0,481.0,526.0,633.0,1
457,1,922.0,185.0,458.0,525.0,574.0,2
458,1,937.0,188.0,492.0,499.0,575.0,3
459,1,920.0,197.0,478.0,526.0,640.0,1
460,1,923.0,184.0,458.0,525.0,579.0,2
461,1,936.0,190.0,490.0,501.0,577.0,3
462,1,920.0,188.0,480.0,528.0,636.0,1
463,1,921.0,185.0,460.0,526.0,576.0,2
464,1,937.0,191.0,491.0,504.0,570.0,3
465,1,922.0,188.0,475.0,523.0,637.0,1
466,1,923.0,185.0,459.0,522.0,578.0,2
467,1,936.0,190.0,489.0,502.0,572.0,3
468,1,918.0,192.0,475.0,524.0,636.0,1
469,1,926.0,185.0,458.0,523.0,577.0,2
470,1,936.0,190.0,490.0,498.0,578.0,3
471,1,921.0,194.0,470.0,527.0,643.0,1
