marker,time,tag,x,y,z,anchors,a_1311,a_1592,a_2713,a_8006,a_18178
0,2020-10-16 18:33:35.830511,2,734,1655,0,5,923,186,460,522,578
0,2020-10-16 18:33:35.830511,3,792,1652,0,5,939,186,492,503,574
0,2020-10-16 18:33:35.849095,1,745,1611,0,5,921,194,479,525,642
0,2020-10-16 18:33:35.849095,2,733,1655,0,5,920,187,461,521,576
0,2020-10-16 18:33:35.849095,3,792,1653,0,5,939,186,489,499,575
0,2020-10-16 18:33:35.893486,1,745,1610,0,5,921,195,478,528,636
0,2020-10-16 18:33:35.893486,2,733,1654,0,5,921,185,457,524,575
0,2020-10-16 18:33:35.893486,3,792,1653,0,5,940,189,493,502,581
0,2020-10-16 18:33:36.001852,1,745,1610,0,5,924,192,481,525,638
0,2020-10-16 18:33:36.001852,2,734,1654,0,5,923,182,458,527,579
0,2020-10-16 18:33:36.001852,3,793,1653,0,5,940,184,489,501,580
0,2020-10-16 18:33:36.020826,1,746,1610,0,5,923,194,480,527,641
0,2020-10-16 18:33:36.020826,2,734,1655,0,5,924,187,459,523,584
0,2020-10-16 18:33:36.020826,3,792,1653,0,5,936,188,490,502,574
0,2020-10-16 18:33:36.056096,1,746,1610,0,5,921,191,472,527,634
0,2020-10-16 18:33:36.056096,2,734,1655,0,5,924,185,459,524,576
0,2020-10-16 18:33:36.056096,3,792,1653,0,5,938,187,492,501,569
0,2020-10-16 18:33:36.078035,1,746,1610,0,5,924,190,478,530,640
0,2020-10-16 18:33:36.078035,2,734,1655,0,5,924,186,458,521,578
0,2020-10-16 18:33:36.078035,3,793,1654,0,5,937,187,491,504,567
0,2020-10-16 18:33:36.113430,1,746,1610,0,5,923,188,478,527,644
0,2020-10-16 18:33:36.113430,2,735,1655,0,5,921,186,459,522,586
0,2020-10-16 18:33:36.113430,3,792,1654,0,5,936,187,489,502,570
0,2020-10-16 18:33:36.148301,1,746,1610,0,5,920,191,477,522,641
0,2020-10-16 18:33:36.148301,2,735,1655,0,5,920,187,459,523,579
0,2020-10-16 18:33:36.148301,3,792,1653,0,5,935,186,488,497,571
0,2020-10-16 18:33:36.189669,1,746,1610,0,5,922,193,481,529,636
0,2020-10-16 18:33:36.189669,2,734,1654,0,5,924,187,459,526,577
0,2020-10-16 18:33:36.189669,3,792,1653,0,5,935,185,492,503,568
0,2020-10-16 18:33:36.223534,1,746,1610,0,5,924,196,481,526,645
0,2020-10-16 18:33:36.223534,2,734,1654,0,5,924,187,458,522,575
0,2020-10-16 18:33:36.223534,3,792,1653,0,5,939,192,491,504,568
0,2020-10-16 18:33:36.317315,1,745,1611,0,5,924,189,484,538,638
0,2020-10-16 18:33:36.317315,2,734,1654,0,5,922,185,455,524,572
0,2020-10-16 18:33:36.317315,3,792,1653,0,5,937,188,490,502,576
0,2020-10-16 18:33:36.365189,1,745,1611,0,5,922,191,481,537,640
0,2020-10-16 18:33:36.365189,2,734,1655,0,5,922,186,456,523,579
0,2020-10-16 18:33:36.365189,3,792,1654,0,5,936,185,489,500,576
0,2020-10-16 18:33:36.403095,1,745,1611,0,5,919,193,484,525,637
0,2020-10-16 18:33:36.403095,2,735,1655,0,5,919,186,456,523,582
0,2020-10-16 18:33:36.403095,3,792,1653,0,5,939,189,490,502,581
0,2020-10-16 18:33:36.423997,1,746,1611,0,5,919,189,479,532,640
0,2020-10-16 18:33:36.423997,2,735,1655,0,5,919,184,456,519,580
0,2020-10-16 18:33:36.423997,3,792,1652,0,5,939,185,492,502,578
0,2020-10-16 18:33:36.474861,1,746,1610,0,5,924,197,480,541,641
0,2020-10-16 18:33:36.474861,2,734,1655,0,5,920,185,457,521,575
0,2020-10-16 18:33:36.474861,3,791,1652,0,5,936,187,489,499,581
0,2020-10-16 18:33:36.508708,1,745,1610,0,5,920,189,477,526,639
0,2020-10-16 18:33:36.508708,2,734,1655,0,5,925,188,459,523,582
0,2020-10-16 18:33:36.508708,3,791,1652,0,5,938,187,490,498,579
0,2020-10-16 18:33:36.541128,1,745,1611,0,5,922,192,478,527,639
0,2020-10-16 18:33:36.541128,2,735,1655,0,5,922,189,460,526,580
0,2020-10-16 18:33:36.541128,3,791,1653,0,5,938,187,490,499,580
0,2020-10-16 18:33:36.574328,1,745,1610,0,5,923,194,477,529,639
0,2020-10-16 18:33:36.574328,2,735,1655,0,5,922,188,459,524,574
0,2020-10-16 18:33:36.574328,3,784,1642,0,5,938,190,491,502,580
0,2020-10-16 18:33:36.628465,1,745,1611,0,5,923,196,475,525,636
0,2020-10-16 18:33:36.628465,2,734,1655,0,5,919,184,460,523,579
0,2020-10-16 18:33:36.628465,3,785,1644,0,5,938,186,490,501,583
0,2020-10-16 18:33:36.661741,1,745,1611,0,5,922,198,482,528,633
0,2020-10-16 18:33:36.661741,2,734,1655,0,5,922,188,458,525,575
0,2020-10-16 18:33:36.661741,3,786,1646,0,5,938,191,489,501,581
0,2020-10-16 18:33:36.717830,1,746,1610,0,5,922,194,471,529,638
0,2020-10-16 18:33:36.717830,2,735,1655,0,5,920,187,458,520,577
0,2020-10-16 18:33:36.717830,3,788,1647,0,5,939,188,490,500,579
0,2020-10-16 18:33:36.749320,1,746,1610,0,5,923,194,467,524,641
0,2020-10-16 18:33:36.749320,2,735,1656,0,5,922,184,459,522,584
0,2020-10-16 18:33:36.749320,3,788,1647,0,5,938,187,490,502,581
0,2020-10-16 18:33:36.860976,1,746,1610,0,5,922,195,472,530,637
0,2020-10-16 18:33:36.860976,2,735,1656,0,5,923,187,459,522,578
0,2020-10-16 18:33:36.860976,3,789,1648,0,5,940,189,491,502,580
0,2020-10-16 18:33:36.890879,1,746,1610,0,5,921,193,479,532,639
0,2020-10-16 18:33:36.890879,2,734,1655,0,5,925,187,457,526,577
0,2020-10-16 18:33:36.890879,3,789,1649,0,5,942,185,488,501,581
0,2020-10-16 18:33:36.910489,1,745,1611,0,5,924,190,470,530,636
0,2020-10-16 18:33:36.910489,2,734,1655,0,5,921,184,459,527,583
0,2020-10-16 18:33:36.910489,3,790,1650,0,5,939,188,492,500,582
0,2020-10-16 18:33:36.940407,1,745,1611,0,5,924,191,477,522,640
0,2020-10-16 18:33:36.940407,2,734,1655,0,5,918,187,461,529,579
0,2020-10-16 18:33:36.940407,3,790,1651,0,5,939,189,490,499,581
0,2020-10-16 18:33:36.972322,1,745,1610,0,5,921,195,475,524,635
0,2020-10-16 18:33:36.972322,2,735,1655,0,5,919,185,460,522,581
0,2020-10-16 18:33:36.972322,3,791,1652,0,5,937,189,491,502,580
0,2020-10-16 18:33:37.031006,1,746,1610,0,5,924,191,479,523,638
0,2020-10-16 18:33:37.031006,2,735,1655,0,5,920,185,459,520,582
0,2020-10-16 18:33:37.031006,3,784,1642,0,5,936,189,489,502,577
0,2020-10-16 18:33:37.065226,1,746,1610,0,5,923,190,487,527,636
0,2020-10-16 18:33:37.065226,2,735,1655,0,5,923,188,460,521,573
0,2020-10-16 18:33:37.065226,3,785,1644,0,5,939,189,489,503,575
0,2020-10-16 18:33:37.107030,1,746,1609,0,5,921,190,484,524,638
0,2020-10-16 18:33:37.107030,2,734,1655,0,5,926,186,458,521,583
0,2020-10-16 18:33:37.107030,3,786,1647,0,5,936,189,489,500,576
0,2020-10-16 18:33:37.139942,1,745,1609,0,5,924,191,481,523,634
0,2020-10-16 18:33:37.139942,2,734,1656,0,5,925,185,459,525,578
0,2020-10-16 18:33:37.139942,3,787,1647,0,5,937,187,490,502,575
0,2020-10-16 18:33:37.202412,1,745,1609,0,5,922,199,480,525,635
0,2020-10-16 18:33:37.202412,2,734,1656,0,5,924,185,462,522,580
0,2020-10-16 18:33:37.202412,3,788,1648,0,5,937,187,492,501,574
0,2020-10-16 18:33:37.238312,1,746,1609,0,5,923,191,478,530,641
0,2020-10-16 18:33:37.238312,2,735,1656,0,5,921,187,460,528,584
0,2020-10-16 18:33:37.238312,3,789,1648,0,5,938,189,490,503,572
0,2020-10-16 18:33:37.295611,1,746,1609,0,5,921,191,477,522,638
0,2020-10-16 18:33:37.295611,2,735,1656,0,5,921,187,457,524,584
0,2020-10-16 18:33:37.295611,3,789,1649,0,5,944,188,488,503,572
0,2020-10-16 18:33:37.357957,1,745,1609,0,5,923,193,480,529,639
0,2020-10-16 18:33:37.357957,2,735,1656,0,5,919,185,457,524,575
0,2020-10-16 18:33:37.357957,3,790,1649,0,5,941,185,490,503,571
0,2020-10-16 18:33:37.393895,1,745,1609,0,5,924,191,478,528,637
0,2020-10-16 18:33:37.393895,2,735,1656,0,5,921,186,459,523,585
0,2020-10-16 18:33:37.393895,3,790,1649,0,5,937,187,490,504,575
0,2020-10-16 18:33:37.425485,1,745,1609,0,5,922,192,475,534,636
0,2020-10-16 18:33:37.425485,2,735,1655,0,5,920,188,458,521,575
0,2020-10-16 18:33:37.425485,3,783,1639,0,5,936,184,492,500,571
0,2020-10-16 18:33:37.458430,1,745,1610,0,5,920,193,476,523,642
0,2020-10-16 18:33:37.458430,2,735,1656,0,5,919,189,458,520,584
0,2020-10-16 18:33:37.458430,3,785,1640,0,5,936,188,490,499,579
0,2020-10-16 18:33:37.512252,1,745,1610,0,5,922,192,477,527,639
0,2020-10-16 18:33:37.512252,2,735,1656,0,5,926,188,460,526,580
0,2020-10-16 18:33:37.512252,3,786,1642,0,5,940,184,494,499,580
0,2020-10-16 18:33:37.546161,1,745,1610,0,5,921,192,479,525,636
0,2020-10-16 18:33:37.546161,2,735,1656,0,5,927,189,460,524,575
0,2020-10-16 18:33:37.546161,3,787,1643,0,5,940,187,490,502,579
0,2020-10-16 18:33:37.605003,1,745,1611,0,5,922,185,478,527,634
0,2020-10-16 18:33:37.605003,2,735,1656,0,5,924,187,460,522,583
0,2020-10-16 18:33:37.605003,3,788,1644,0,5,938,184,489,504,578
0,2020-10-16 18:33:37.668832,1,745,1611,0,5,924,191,476,523,636
0,2020-10-16 18:33:37.668832,2,735,1656,0,5,924,185,460,520,577
0,2020-10-16 18:33:37.668832,3,788,1645,0,5,938,186,492,502,580
0,2020-10-16 18:33:37.700747,1,744,1612,0,5,922,190,479,525,636
0,2020-10-16 18:33:37.700747,2,735,1655,0,5,923,188,460,522,577
0,2020-10-16 18:33:37.700747,3,789,1646,0,5,935,186,491,502,570
0,2020-10-16 18:33:37.731665,1,744,1611,0,5,922,195,476,522,642
0,2020-10-16 18:33:37.731665,2,735,1656,0,5,917,188,458,524,580
0,2020-10-16 18:33:37.731665,3,789,1646,0,5,939,188,489,504,574
0,2020-10-16 18:33:37.765755,1,744,1612,0,5,921,192,472,529,643
0,2020-10-16 18:33:37.765755,2,735,1655,0,5,919,186,458,526,574
0,2020-10-16 18:33:37.765755,3,790,1646,0,5,938,181,490,502,570
0,2020-10-16 18:33:37.826196,1,744,1612,0,5,919,189,474,527,640
0,2020-10-16 18:33:37.826196,2,735,1655,0,5,918,184,457,526,575
0,2020-10-16 18:33:37.826196,3,790,1647,0,5,937,185,489,501,577
0,2020-10-16 18:33:37.857941,1,744,1612,0,5,921,185,477,521,640
